      0.24	      0.24	      1.03	      0.00
      0.25	      0.25	      1.03	      0.00
      0.26	      0.26	      1.04	      0.00
      0.27	      0.27	      1.04	      0.00
      0.28	      0.28	      1.04	      0.00
      0.29	      0.29	      1.05	      0.00
      0.30	      0.30	      1.05	      0.00
      0.31	      0.32	      1.05	      0.00
      0.32	      0.33	      1.06	      0.00
      0.33	      0.34	      1.06	      0.00
      0.34	      0.35	      1.07	      0.00
      0.35	      0.36	      1.07	      0.00
      0.36	      0.37	      1.07	      0.00
      0.37	      0.38	      1.08	      0.00
      0.38	      0.39	      1.08	      0.00
      0.39	      0.40	      1.09	      0.01
      0.40	      0.41	      1.09	      0.01
      0.41	      0.42	      1.10	      0.01
      0.42	      0.43	      1.10	      0.01
      0.43	      0.44	      1.11	      0.01
      0.44	      0.46	      1.12	      0.01
      0.45	      0.47	      1.12	      0.01
      0.46	      0.48	      1.13	      0.01
      0.47	      0.49	      1.14	      0.01
      0.48	      0.50	      1.14	      0.01
      0.49	      0.51	      1.15	      0.01
      0.50	      0.52	      1.16	      0.01
      0.51	      0.54	      1.17	      0.01
      0.52	      0.55	      1.17	      0.01
      0.53	      0.56	      1.18	      0.01
      0.54	      0.57	      1.19	      0.01
      0.55	      0.58	      1.20	      0.01
      0.56	      0.59	      1.21	      0.01
      0.57	      0.61	      1.22	      0.01
      0.58	      0.62	      1.23	      0.01
      0.59	      0.63	      1.24	      0.01
      0.60	      0.64	      1.26	      0.01
      0.61	      0.66	      1.27	      0.01
      0.62	      0.67	      1.28	      0.01
      0.63	      0.68	      1.29	      0.01
      0.64	      0.69	      1.31	      0.01
      0.65	      0.71	      1.32	      0.02
      0.66	      0.72	      1.34	      0.02
      0.67	      0.73	      1.36	      0.02
      0.68	      0.75	      1.37	      0.02
      0.69	      0.76	      1.39	      0.02
      0.70	      0.78	      1.41	      0.02
      0.71	      0.79	      1.43	      0.02
      0.72	      0.80	      1.45	      0.02
      0.73	      0.82	      1.47	      0.02
      0.74	      0.83	      1.50	      0.03
      0.75	      0.85	      1.53	      0.03
      0.76	      0.86	      1.55	      0.03
      0.77	      0.88	      1.58	      0.03
      0.78	      0.89	      1.61	      0.03
      0.79	      0.91	      1.65	      0.04
      0.80	      0.93	      1.69	      0.04
      0.81	      0.94	      1.73	      0.04
      0.82	      0.96	      1.77	      0.05
      0.83	      0.98	      1.82	      0.05
      0.84	      1.00	      1.87	      0.06
      0.85	      1.02	      1.93	      0.06
      0.86	      1.04	      1.99	      0.07
      0.87	      1.06	      2.07	      0.08
      0.88	      1.08	      2.15	      0.09
      0.89	      1.10	      2.24	      0.11
